id,name,price,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8
1,네잎클로버,0,감성,연인,친구,,,,,
2,학천마리,0,감성,연인,,,,,,
3,빌딩,100000000,,,,,,,,
4,정관장,50000,건강,실용,30+,식품,,,,
5,카카오톡 이모티콘,3000,원격,,,,,,,
6,마카롱 등 디저트류,20000,식품,,,,,,,
7,디퓨저,20000,,,,,,,,
8,와인/샴페인,,성인,식품,,,,,,
9,향초,30000,감성,,,,,,,
10,차(마시는),30000,식품,,,,,,,
11,현금,0,실용,,,,,,,
12,향수,60000,뷰티,,,,,,,
13,잠옷,30000,연인,,,,,,,
14,무드등,30000,감성,인테리어,,,,,,
15,풍경,,,,,,,,,
16,샤워 가운,25000,,,,,,,,
17,귀걸이,,뷰티,여성,,,,,,
18,헤드셋,,실용,음악,,,,,,
19,손편지,0,,,,,,,,
20,예쁜 쓰레기,,쓸없선,,,,,,,
21,폰케이스,,,,,,,,,
22,안마기,,실용,건강,전자기기,,,,,
23,립스틱,,뷰티,여성,,,,,,
24,신발,,뷰티,실용,,,,,,
25,속옷,,연인,,,,,,,
26,지갑,,,,,,,,,
27,시계,,,,,,,,,
28,텀블러,20000,,,,,,,,
29,술,,,,,,,,,
30,케이크,20000,,,,,,,,